Entidad federativa,Total
Estados Unidos Mexicanos,9.74
Aguascalientes,10.35
Baja California,10.20
Baja California Sur,10.34
Campeche,9.63
Coahuila,10.43
Colima,10.05
Chiapas,7.78
Chihuahua,10.00
Ciudad de México,11.48
Durango,9.75
Guanajuato,9.04
Guerrero,8.37
Hidalgo,9.37
Jalisco,9.90
México,10.08
Michoacán,8.60
Morelos,9.84
Nayarit,9.73
Nuevo León,10.74
Oaxaca,8.12
Puebla,9.16
Querétaro,10.48
Quintana Roo,10.24
San Luis Potosí,9.61
Sinaloa,10.22
Sonora,10.40
Tabasco,9.69
Tamaulipas,10.09
Tlaxcala,9.83
Veracruz,8.75
Yucatán,9.59
Zacatecas,9.25
